FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187d53d4470_d26,5334002,1118,Osterweg
strassennamen.fid--3213a59_187d53d4470_d27,5334002,1119,Kaltbachgässchen
strassennamen.fid--3213a59_187d53d4470_d28,5334002,1120,Philippionsweg
strassennamen.fid--3213a59_187d53d4470_d29,5334002,1121,Revierweg
strassennamen.fid--3213a59_187d53d4470_d2a,5334002,1122,Bertholdstraße
strassennamen.fid--3213a59_187d53d4470_d2b,5334002,1123,Rotsiefweg
strassennamen.fid--3213a59_187d53d4470_d2c,5334002,1124,Beverstraße
strassennamen.fid--3213a59_187d53d4470_d2d,5334002,1125,Birkengrund
strassennamen.fid--3213a59_187d53d4470_d2e,5334002,1126,Kopernikusstraße
strassennamen.fid--3213a59_187d53d4470_d2f,5334002,1127,Hirschweg
strassennamen.fid--3213a59_187d53d4470_d30,5334002,1128,Bischofstraße
strassennamen.fid--3213a59_187d53d4470_d31,5334002,1129,Natternweg
strassennamen.fid--3213a59_187d53d4470_d32,5334002,1131,Südweg
strassennamen.fid--3213a59_187d53d4470_d33,5334002,1133,Trappenweg
strassennamen.fid--3213a59_187d53d4470_d34,5334002,1135,Tunnelweg
strassennamen.fid--3213a59_187d53d4470_d35,5334002,1136,Blücherplatz
strassennamen.fid--3213a59_187d53d4470_d36,5334002,1137,Simpelvelder Straße
strassennamen.fid--3213a59_187d53d4470_d37,5334002,1138,Bodelschwinghstraße
strassennamen.fid--3213a59_187d53d4470_d38,5334002,1139,Vossenweg
strassennamen.fid--3213a59_187d53d4470_d39,5334002,1140,Bonifatiusweg
strassennamen.fid--3213a59_187d53d4470_d3a,5334002,1142,Borchersstraße
strassennamen.fid--3213a59_187d53d4470_d3b,5334002,1150,Breslauer Straße
strassennamen.fid--3213a59_187d53d4470_d3c,5334002,1151,Buchenallee
strassennamen.fid--3213a59_187d53d4470_d3d,5334002,1152,Buchkremerstraße
strassennamen.fid--3213a59_187d53d4470_d3e,5334002,1153,Büchel
strassennamen.fid--3213a59_187d53d4470_d3f,5334002,1154,Bungert
strassennamen.fid--3213a59_187d53d4470_d40,5334002,1155,Bunsenstraße
strassennamen.fid--3213a59_187d53d4470_d41,5334002,1156,Burggrafenstraße
strassennamen.fid--3213a59_187d53d4470_d42,5334002,1157,Brüggemannstraße
strassennamen.fid--3213a59_187d53d4470_d43,5334002,1158,Brüsseler Ring
strassennamen.fid--3213a59_187d53d4470_d44,5334002,1159,Brunssumstraße
strassennamen.fid--3213a59_187d53d4470_d45,5334002,1160,Burtscheider Straße
strassennamen.fid--3213a59_187d53d4470_d46,5334002,1161,Buschhäuserweg
strassennamen.fid--3213a59_187d53d4470_d47,5334002,1162,Buschmühle
strassennamen.fid--3213a59_187d53d4470_d48,5334002,1163,Carlasiedlung
strassennamen.fid--3213a59_187d53d4470_d49,5334002,1164,César-Franck-Straße
strassennamen.fid--3213a59_187d53d4470_d4a,5334002,1165,Champierweg
strassennamen.fid--3213a59_187d53d4470_d4b,5334002,1167,Charles-de-Coster-Straße
strassennamen.fid--3213a59_187d53d4470_d4c,5334002,1168,Charlottenstraße
strassennamen.fid--3213a59_187d53d4470_d4d,5334002,1170,Chlodwigstraße
strassennamen.fid--3213a59_187d53d4470_d4e,5334002,1171,Claßenstraße
strassennamen.fid--3213a59_187d53d4470_d4f,5334002,1172,Clermontstraße
strassennamen.fid--3213a59_187d53d4470_d50,5334002,1173,Colynshofstraße
strassennamen.fid--3213a59_187d53d4470_d51,5334002,1174,Couvenstraße
strassennamen.fid--3213a59_187d53d4470_d52,5334002,1176,Dachsbau
strassennamen.fid--3213a59_187d53d4470_d53,5334002,1178,Dahlienweg
strassennamen.fid--3213a59_187d53d4470_d54,5334002,1179,Dahmengraben
strassennamen.fid--3213a59_187d53d4470_d55,5334002,1181,Damaschkestraße
strassennamen.fid--3213a59_187d53d4470_d56,5334002,1183,Dammstraße
strassennamen.fid--3213a59_187d53d4470_d57,5334002,1184,Danziger Straße
strassennamen.fid--3213a59_187d53d4470_d58,5334002,1185,Dedolphstraße
strassennamen.fid--3213a59_187d53d4470_d59,5334002,1187,Deliusstraße
strassennamen.fid--3213a59_187d53d4470_d5a,5334002,1189,Dennewartstraße
strassennamen.fid--3213a59_187d53d4470_d5b,5334002,1191,Diepenbenden
strassennamen.fid--3213a59_187d53d4470_d5c,5334002,1193,Dr.-Hahn-Straße
strassennamen.fid--3213a59_187d53d4470_d5d,5334002,1195,Dr.-Vitus-Metz-Straße
strassennamen.fid--3213a59_187d53d4470_d5e,5334002,1197,Domhof
strassennamen.fid--3213a59_187d53d4470_d5f,5334002,1199,Dresdener Straße
strassennamen.fid--3213a59_187d53d4470_d60,5334002,1201,Driescher Gässchen
strassennamen.fid--3213a59_187d53d4470_d61,5334002,1205,Drimbornstraße
strassennamen.fid--3213a59_187d53d4470_d62,5334002,1207,Drosselweg
strassennamen.fid--3213a59_187d53d4470_d63,5334002,1209,Düppelstraße
strassennamen.fid--3213a59_187d53d4470_d64,5334002,1210,Düstergasse
strassennamen.fid--3213a59_187d53d4470_d65,5334002,1211,Düsbergweg
strassennamen.fid--3213a59_187d53d4470_d66,5334002,1212,Dunantstraße
strassennamen.fid--3213a59_187d53d4470_d67,5334002,1214,Eberburgweg
strassennamen.fid--3213a59_187d53d4470_d68,5334002,1216,Eckenberger Straße
strassennamen.fid--3213a59_187d53d4470_d69,5334002,1217,Mataréstraße
strassennamen.fid--3213a59_187d53d4470_d6a,5334002,1220,Eginhardstraße
strassennamen.fid--3213a59_187d53d4470_d6b,5334002,1222,Eichendorffweg
strassennamen.fid--3213a59_187d53d4470_d6c,5334002,1224,Eichhörnchenweg
strassennamen.fid--3213a59_187d53d4470_d6d,5334002,1226,Eifelstraße
strassennamen.fid--3213a59_187d53d4470_d6e,5334002,1228,Sonnenscheinstraße
strassennamen.fid--3213a59_187d53d4470_d6f,5334002,1229,Eilfschornsteinstraße
strassennamen.fid--3213a59_187d53d4470_d70,5334002,1231,Eintrachtstraße
strassennamen.fid--3213a59_187d53d4470_d71,5334002,1233,Eisenbahnweg
strassennamen.fid--3213a59_187d53d4470_d72,5334002,1235,Elisabethstraße
strassennamen.fid--3213a59_187d53d4470_d73,5334002,1237,Malmedyer Straße
strassennamen.fid--3213a59_187d53d4470_d74,5334002,1239,Elsa-Brändström-Straße
strassennamen.fid--3213a59_187d53d4470_d75,5334002,1240,Elsassplatz
strassennamen.fid--3213a59_187d53d4470_d76,5334002,1241,Elsassstraße
strassennamen.fid--3213a59_187d53d4470_d77,5334002,1243,Emmastraße
strassennamen.fid--3213a59_187d53d4470_d78,5334002,1245,Engelbertstraße
strassennamen.fid--3213a59_187d53d4470_d79,5334002,1247,Entenfeld
strassennamen.fid--3213a59_187d53d4470_d7a,5334002,1248,Entenpfuhler Weg
strassennamen.fid--3213a59_187d53d4470_d7b,5334002,1250,Erckensstraße
strassennamen.fid--3213a59_187d53d4470_d7c,5334002,1252,Erlenweg
strassennamen.fid--3213a59_187d53d4470_d7d,5334002,1253,Eselsweg
strassennamen.fid--3213a59_187d53d4470_d7e,5334002,1258,Europadorf
strassennamen.fid--3213a59_187d53d4470_d7f,5334002,1259,Europaplatz
strassennamen.fid--3213a59_187d53d4470_d80,5334002,1260,Eynattener Straße
strassennamen.fid--3213a59_187d53d4470_d81,5334002,1261,Feldchen
strassennamen.fid--3213a59_187d53d4470_d82,5334002,1262,Feldstraße
strassennamen.fid--3213a59_187d53d4470_d83,5334002,1264,Felix-Timmermans-Straße
strassennamen.fid--3213a59_187d53d4470_d84,5334002,1266,Fichtestraße
strassennamen.fid--3213a59_187d53d4470_d85,5334002,1267,Fichthang
strassennamen.fid--3213a59_187d53d4470_d86,5334002,1268,Fischmarkt
strassennamen.fid--3213a59_187d53d4470_d87,5334002,1270,Flandrische Straße
strassennamen.fid--3213a59_187d53d4470_d88,5334002,1272,Fliederweg
strassennamen.fid--3213a59_187d53d4470_d89,5334002,1274,Försterstraße
strassennamen.fid--3213a59_187d53d4470_d8a,5334002,1276,Forster Linde
strassennamen.fid--3213a59_187d53d4470_d8b,5334002,1277,Forster Weg
strassennamen.fid--3213a59_187d53d4470_d8c,5334002,1278,Frankenberger Straße
strassennamen.fid--3213a59_187d53d4470_d8d,5334002,1279,Frankenstraße
strassennamen.fid--3213a59_187d53d4470_d8e,5334002,1280,Franziskusweg
strassennamen.fid--3213a59_187d53d4470_d8f,5334002,1281,Frans-Masereel-Straße
strassennamen.fid--3213a59_187d53d4470_d90,5334002,1284,Freunder Weg
strassennamen.fid--3213a59_187d53d4470_d91,5334002,1286,Aretzstraße
strassennamen.fid--3213a59_187d53d4470_d92,5334002,1287,Friedlandstraße
strassennamen.fid--3213a59_187d53d4470_d93,5334002,1288,Friedrich-Ebert-Allee
strassennamen.fid--3213a59_187d53d4470_d94,5334002,1289,Friedrichstraße
strassennamen.fid--3213a59_187d53d4470_d95,5334002,1290,Friedrich-Wilhelm-Platz
strassennamen.fid--3213a59_187d53d4470_d96,5334002,1292,Friesenstraße
strassennamen.fid--3213a59_187d53d4470_d97,5334002,1294,Fringsgraben
strassennamen.fid--3213a59_187d53d4470_d98,5334002,1296,Fuchserde
strassennamen.fid--3213a59_187d53d4470_d99,5334002,1298,Gartenstraße
strassennamen.fid--3213a59_187d53d4470_d9a,5334002,1299,Gasborn
strassennamen.fid--3213a59_187d53d4470_d9b,5334002,1300,Gerhart-Hauptmann-Straße
strassennamen.fid--3213a59_187d53d4470_d9c,5334002,1301,Gemmenicher Weg
strassennamen.fid--3213a59_187d53d4470_d9d,5334002,1302,Geschwister-Scholl-Straße
strassennamen.fid--3213a59_187d53d4470_d9e,5334002,1303,Schumacherstraße
strassennamen.fid--3213a59_187d53d4470_d9f,5334002,1304,Gerlachstraße
strassennamen.fid--3213a59_187d53d4470_da0,5334002,1305,Glatzer Straße
strassennamen.fid--3213a59_187d53d4470_da1,5334002,1306,Giselastraße
strassennamen.fid--3213a59_187d53d4470_da2,5334002,1307,Gleiwitzer Straße
strassennamen.fid--3213a59_187d53d4470_da3,5334002,1310,Prager Ring
strassennamen.fid--3213a59_187d53d4470_da4,5334002,1311,Goethestraße
strassennamen.fid--3213a59_187d53d4470_da5,5334002,1313,Goldbachstraße
strassennamen.fid--3213a59_187d53d4470_da6,5334002,1314,Goldberg
strassennamen.fid--3213a59_187d53d4470_da7,5334002,1315,Gottfriedstraße
strassennamen.fid--3213a59_187d53d4470_da8,5334002,1318,Gut-Dämme-Straße
